"DEGREE_LEVEL","DEGREE","COLLEGE","DEPARTMENT","MAJOR","ENROLLED_STUDENTS","PELL_COUNT","PELL_AMT","HOPE_ZELL_COUNT","HOPE_ZELL_AMT","ZELL_COUNT","ZELL_AMT","HOPE_COUNT","HOPE_AMT","FED_AID_COUNT","FED_AID_AMT","STATE_AID_COUNT","STATE_AID_AMT","LOAN_ALL_LOANS_COUNT","LOAN_ALL_LOANS_AMT","LOAN_FED_AID_COUNT","LOAN_FED_AID_AMT","LOAN_NON_FED_AID_COUNT","LOAN_NON_FED_AID_AMT","GRANT_SCH_AID_COUNT","GRANT_SCH_AID_AMT","GRANT_SCH_UGA_AID_COUNT","GRANT_SCH_UGA_AID_AMT","GRANT_SCH_UGA_NEED_AID_COUNT","GRANT_SCH_UGA_NEED_AID_AMT","EXEMPTION_NONSCHOL_COUNT","EXEMPTION_NONSCHOL_AMT","EXEMPTION_AS_SCHOL_COUNT","EXEMPTION_AS_SCHOL_AMT","ALL_AID_COUNT","ALL_AID_AMT"
Bachelor's,BSFCS,"College of Fam and Consumr Sci","College of Fam and Consum Sci",Unspecified,12,2,6096,7,31320,5,23880,2,7440,6,48212,7,31320,6,50116,5,41616,1,8500,8,53708,2,14542,1,500,0,0,0,0,10,103824
Bachelor's,BSFCS,"College of Fam and Consumr Sci","College of Fam and Consum Sci",,12,2,6096,7,31320,5,23880,2,7440,6,48212,7,31320,6,50116,5,41616,1,8500,8,53708,2,14542,1,500,0,0,0,0,10,103824
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Consumer Economics",112,36,72038,32,103424,4,19104,28,84320,58,296486,33,104710,49,247189,46,221948,6,25241,61,298648,21,112436,7,8000,6,30624,0,0,81,576461
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Consumer Journalism",29,4,8892,17,70512,9,42984,8,27528,11,64995,17,70512,10,62946,9,54103,1,8843,20,92554,7,11400,1,500,2,18574,2,1331893,25,189504.5
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Family and Consumer Sci Educ",13,2,6096,9,34416,3,14328,6,20088,4,20346,9,34416,4,26250,3,13750,1,12500,10,51712,5,6700,1,4000,0,0,0,0,11,77962
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Financial Planning",155,43,109360,71,258824,18,85968,53,172856,70,385767.53,71,258824,66,341491,61,270765,7,70726,102,454625,22,74841,10,11750,0,0,1,722680,114,803402.03
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ",Housing,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19502,1,19502,0,0,0,0,0,0,1,19502
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Housing Management & Policy",28,6,16001,10,38448,4,19104,6,19344,14,87692,10,38448,12,76191,11,71191,1,5000,20,159046,12,103597,1,1500,0,0,0,0,24,235237
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Intended Consumer Journalism",26,4,9642,16,63936,7,33432,9,30504,11,37745,16,63936,10,31103,10,28103,1,3000,16,77578,1,500,0,0,1,9287,2,1668617,21,127255
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ",,364,95,222029,155,569560,45,214920,110,354640,168,893031.53,156,570846,151,785170,140,659860,17,125310,230,1153665,69,328976,20,25750,9,58485,5,3723190,277,2029323.53
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Foods and Nutrition","Culinary Science & Nutrition",14,2,3496,4,15256,2,9552,2,5704,3,20994,4,15256,4,25998,3,17498,1,8500,6,33509,3,13507,1,425,2,9552,1,664262,11,73702.5
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Foods and Nutrition",Dietetics,39,8,17796,25,97424,11,52536,14,44888,18,91775.7,25,97424,14,82091,14,72465,1,9626,30,129722,3,14502,0,0,1,9287,2,1454340,33,241188.7
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Foods and Nutrition","Intended Dietetics",101,21,47984,71,283344,33,157608,38,125736,45,247856.8,71,283344,38,203224,37,198354,2,4870,83,360074,11,21246,4,12796,2,11363,2,1576795,88,584966.8
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Foods and Nutrition","Nutrition Science",3,1,1524,1,4776,1,4776,0,0,1,7774,1,4776,1,6250,1,6250,0,0,2,6300,0,0,0,0,0,0,0,0,2,12550
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Foods and Nutrition","Nutritional Sciences",191,40,87594,152,636296,88,420288,64,216008,80,419021.23,153,643551,67,378526,65,324548,9,53978,168,785136,29,26371,11,10448,1,9287,11,8435948,182,1227656.73
