DEGREE_LEVEL,DEGREE,COLLEGE,DEPARTMENT,MAJOR,ENROLLED_STUDENTS,PELL_COUNT,PELL_AMT,HOPE_ZELL_COUNT,HOPE_ZELL_AMT,ZELL_COUNT,ZELL_AMT,HOPE_COUNT,HOPE_AMT,FED_AID_COUNT,FED_AID_AMT,STATE_AID_COUNT,STATE_AID_AMT,LOAN_ALL_LOANS_COUNT,LOAN_ALL_LOANS_AMT,LOAN_FED_AID_COUNT,LOAN_FED_AID_AMT,LOAN_NON_FED_AID_COUNT,LOAN_NON_FED_AID_AMT,GRANT_SCH_AID_COUNT,GRANT_SCH_AID_AMT,GRANT_SCH_UGA_AID_COUNT,GRANT_SCH_UGA_AID_AMT,GRANT_SCH_UGA_NEED_AID_COUNT,GRANT_SCH_UGA_NEED_AID_AMT,EXEMPTION_NONSCHOL_COUNT,EXEMPTION_NONSCHOL_AMT,EXEMPTION_AS_SCHOL_COUNT,EXEMPTION_AS_SCHOL_AMT,ALL_AID_COUNT,ALL_AID_AMT
Bachelor's,BSFCS,College of Fam and Consumr Sci,College of Fam and Consum Sci,Honors Interdisciplinary Stud,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,500,1,500,0,0,0,0,0,0,1,500
Bachelor's,BSFCS,College of Fam and Consumr Sci,College of Fam and Consum Sci,Unspecified,1,1,1540,1,4295,1,4295,0,0,1,1540,1,4295,0,0,0,0,0,0,1,5835,0,0,0,0,0,0,0,0,1,5835
Bachelor's,BSFCS,College of Fam and Consumr Sci,College of Fam and Consum Sci,,2,1,1540,1,4295,1,4295,0,0,1,1540,1,4295,0,0,0,0,0,0,2,6335,1,500,0,0,0,0,0,0,2,6335
Bachelor's,BSFCS,College of Fam and Consumr Sci,Finan Plan Hous and Cons Econ,Consumer Economics,128,40,79135,33,100348,4,17180,29,83168,64,361111,33,100348,56,295648,54,279583,2,16065,68,306352,14,124869,1,297,2,18210,0,0,87,620603
Bachelor's,BSFCS,College of Fam and Consumr Sci,Finan Plan Hous and Cons Econ,Consumer Journalism,41,7,15080,23,78430,8,34360,15,44070,14,60883,23,78430,13,45803,13,45803,0,0,28,121839,7,27829,1,625,3,27315,0,0,33,194957
Bachelor's,BSFCS,College of Fam and Consumr Sci,Finan Plan Hous and Cons Econ,Family Financial Planning,29,6,16740,9,30060,2,8590,7,21470,15,80860,9,30060,14,71864,14,64120,2,7744,15,51350,1,500,0,0,2,18210,0,0,21,141424
Bachelor's,BSFCS,College of Fam and Consumr Sci,Finan Plan Hous and Cons Econ,Family and Consumer Sci Educ,15,1,1940,9,31190,2,8590,7,22600,7,39075,9,31190,7,37135,7,37135,0,0,9,36130,0,0,0,0,0,0,1,552806,13,77817.5
Bachelor's,BSFCS,College of Fam and Consumr Sci,Finan Plan Hous and Cons Econ,Financial Planning,62,19,45259,22,72551,5,21475,17,51076,30,129397,23,75594,24,116560,22,82537,5,34023,33,148470,8,29560,4,7500,2,11818,0,0,42,278449
Bachelor's,BSFCS,College of Fam and Consumr Sci,Finan Plan Hous and Cons Econ,Housing,24,10,25225,1,3390,0,0,1,3390,11,50879,1,3390,6,24654,6,24654,0,0,16,159320,12,129705,0,0,2,13400,0,0,19,197374
Bachelor's,BSFCS,College of Fam and Consumr Sci,Finan Plan Hous and Cons Econ,Intended Consumer Journalism,27,5,10890,5,15142,0,0,5,15142,12,86565,5,15142,14,109444,12,75675,4,33769,15,92697,7,66665,2,3000,1,9105,1,586272,21,215798.5
Bachelor's,BSFCS,College of Fam and Consumr Sci,Finan Plan Hous and Cons Econ,,326,88,194269,102,331111,21,90195,81,240916,153,808770,103,334154,134,701108,128,609507,13,91601,184,916158,49,379128,8,11422,12,98058,2,1139078,236,1726423
Bachelor's,BSFCS,College of Fam and Consumr Sci,Foods and Nutrition,Consumer Foods,33,4,10299,12,40749,4,15437,8,25312,17,103583,12,40749,17,104835,17,92885,2,11950,17,55789.43,2,2000,0,0,0,0,0,0,25,161023.43
