"DEGREE_LEVEL","DEGREE","COLLEGE","DEPARTMENT","MAJOR","ENROLLED_STUDENTS","PELL_COUNT","PELL_AMT","HOPE_ZELL_COUNT","HOPE_ZELL_AMT","ZELL_COUNT","ZELL_AMT","HOPE_COUNT","HOPE_AMT","FED_AID_COUNT","FED_AID_AMT","STATE_AID_COUNT","STATE_AID_AMT","LOAN_ALL_LOANS_COUNT","LOAN_ALL_LOANS_AMT","LOAN_FED_AID_COUNT","LOAN_FED_AID_AMT","LOAN_NON_FED_AID_COUNT","LOAN_NON_FED_AID_AMT","GRANT_SCH_AID_COUNT","GRANT_SCH_AID_AMT","GRANT_SCH_UGA_AID_COUNT","GRANT_SCH_UGA_AID_AMT","GRANT_SCH_UGA_NEED_AID_COUNT","GRANT_SCH_UGA_NEED_AID_AMT","EXEMPTION_NONSCHOL_COUNT","EXEMPTION_NONSCHOL_AMT","EXEMPTION_AS_SCHOL_COUNT","EXEMPTION_AS_SCHOL_AMT","ALL_AID_COUNT","ALL_AID_AMT"
Bachelor's,BSFCS,"College of Fam and Consumr Sci","College of Fam and Consum Sci","Honors Interdisciplinary Stud",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,500,1,500,0,0,0,0,0,0,1,500
Bachelor's,BSFCS,"College of Fam and Consumr Sci","College of Fam and Consum Sci",Unspecified,43,9,33814,28,170743,19,130731,9,40012,19,165684.05,28,170743,17,145681,16,131181,1,14500,31,241633,3,35076,2,2000,1,7804,0,0,35,395307.05
Bachelor's,BSFCS,"College of Fam and Consumr Sci","College of Fam and Consum Sci",,44,9,33814,28,170743,19,130731,9,40012,19,165684.05,28,170743,17,145681,16,131181,1,14500,32,242133,4,35576,2,2000,1,7804,0,0,36,395807.05
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Consumer Economics",533,163,870225,188,1511554.7,23,276070,167,1235484.7,271,3892739.55,188,1525928.7,242,3434623,233,2997105,37,437518,325,3985817.7,96,1553726,30,54400,20,328908.68,2,4863596,402,7812755.93
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Consumer Journalism",158,29,137964,88,875519,34,456720,55,418799,73,915996.86,89,879469,70,953874,67,767373,10,186501,110,1253028,28,210545,7,8200,15,299315,5,11289677,136,2619156.86
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Family Financial Planning",29,8,43142,9,58107,2,16704,7,41403,15,197196,9,58107,14,168298,14,154054,2,14244,17,107699,2,1900,0,0,2,18210,0,0,21,294207
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Family and Consumer Sci Educ",62,16,87806,40,447918,14,249181,26,198737,29,312478.93,40,447918,24,277689,23,219060,1,58629,48,651837,20,84113,5,26600,0,0,2,1218010,53,942243.93
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Financial Planning",564,175,1142771,260,2383526.44,58,761942.32,209,1621584.12,300,4455922.45,263,2413994.44,273,3870750,258,3255307,38,615443,361,4722942.44,98,1043925,48,165088,12,107378,5,12598089,429,8839767.39
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ",Housing,50,19,99014,9,45097,0,0,9,45097,27,285145,9,45097,18,197992,18,182489,2,15503,36,786926,21,637673,2,3500,3,33995.82,0,0,41,1018913.82
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Housing Management & Policy",97,29,145278,40,307005,5,87878,35,219127,55,621494,42,326905,44,597584,42,473716,8,123868,74,1215934,38,750879,5,8250,2,27487,0,0,87,1841005
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Intended Consumer Journalism",155,31,115557,85,473818.64,33,184038.64,52,289780,67,747120.57,85,473818.64,62,712169,60,628181,9,83988,108,799275.64,22,178600,4,7500,6,64664,9,11587948,134,1661960.21
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ",,1425,418,2641757,622,6102545.78,139,2032533.96,496,4070011.82,732,11428093.36,628,6171237.78,656,10212979,627,8677285,97,1535694,940,13523459.78,293,4461361,90,273538,54,879958.5,20,41557320,1131,25030010.14
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Foods and Nutrition","Consumer Foods",85,20,95033,43,318273,16,156317,28,161956,43,434754.83,43,320273,36,380564,36,336614,3,43950,58,465469.43,11,45922,4,4450,4,15200,1,3985572,69,891338.26
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Foods and Nutrition","Culinary Science & Nutrition",27,6,22305,13,81344,8,45456,5,35888,8,73928,13,81344,6,62623,5,51623,2,11000,17,163369,4,56220,1,850,3,30127,1,1328524,24,265406
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Foods and Nutrition",Dietetics,278,69,258378,153,1248086.44,59,639119.24,94,608967.2,133,1555811.6,154,1260432.44,118,1421011,114,1277090,16,143921,200,1734935.44,50,188271,16,32200,6,62293,7,6978939,229,3315586.04
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Foods and Nutrition","Intended Dietetics",456,117,594379,325,3024283.14,137,1513932.64,199,1510350.5,238,3146469.95,326,3031302.14,209,2732492,205,2526127,23,206365,378,4012157.64,62,277106,16,58596,15,211244.5,23,40591169,421,7265921.09
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Foods and Nutrition","Nutrition Science",205,62,346612,152,1654662,63,898535,93,756127,114,1502814.26,152,1654662,94,1214769,93,1136384,8,78385,177,2203946,44,133873,13,17190,6,32327.5,5,9318957,189,3560015.76
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Foods and Nutrition","Nutritional Sciences",454,92,610765,367,4673738.08,211,3110601.84,164,1563136.24,199,2759086.37,368,4703997.08,169,2388317,167,2093013,22,295304,407,5799619.08,83,331866,31,89696,13,143884,26,61244862,437,8769577.18
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Foods and Nutrition",,1188,295,1927472,870,11000386.66,408,6363961.72,489,4636424.94,592,9472865.01,873,11052010.66,512,8199776,505,7420851,67,778925,1005,14379496.59,215,1033258,76,202982,41,495076,48,123448023,1100,24067844.33
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Human Dev and Family Sci","Human Development and Fam Sci",1431,314,2241083,1124,15365945.35,494,8124680.04,678,7241265.31,673,11510666.71,1130,15471382.35,578,9915818,571,9102224,59,813594,1250,21969523.33,250,3634096,108,378639,40,651870.29,35,83338344,1339,33222411
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Human Dev and Family Sci",,1431,314,2241083,1124,15365945.35,494,8124680.04,678,7241265.31,673,11510666.71,1130,15471382.35,578,9915818,571,9102224,59,813594,1250,21969523.33,250,3634096,108,378639,40,651870.29,35,83338344,1339,33222411
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Textiles, Merchand, Interiors","Fashion Merchandising",653,150,825149,439,4877551.32,117,1565666.52,333,3311884.8,311,5392980.12,440,4891469.32,282,5245774,267,4536756,39,709018,509,6451274.32,109,478132,36,88075,56,636070.5,21,54028511,583,12717747.11
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Textiles, Merchand, Interiors","Furnishings and Interiors",115,23,138093,86,1016923,26,426591,60,590332,55,885118.6,86,1016923,48,768681,48,741801,2,26880,99,1321643,33,145104,7,9725,19,34566,3,4524373,109,2161025.1
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Textiles, Merchand, Interiors","Intended Furnish and Interiors",124,14,52617,91,611443,31,298933,60,312510,52,550631.4,91,612843,48,510409,47,495703,3,14706,100,737095,13,54835,2,9500,2,28455.66,3,4390639,108,1305066.56
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Textiles, Merchand, Interiors",,807,178,1015859,553,6505917.32,157,2291190.52,408,4214726.8,383,6828730.12,554,6521235.32,347,6524864,331,5774260,43,750604,639,8510012.32,147,678071,44,107300,77,699092.16,25,62943523,727,16183838.77
Bachelor's,BSFCS,"College of Fam and Consumr Sci",,"Child And Family Development",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,750,1,750,0,0,0,0,1,206101,1,9855
Bachelor's,BSFCS,"College of Fam and Consumr Sci",,"Family Financial Planning",2,0,0,0,0,0,0,0,0,1,3750,0,0,1,3750,1,3750,0,0,0,0,0,0,0,0,0,0,0,0,1,3750
Bachelor's,BSFCS,"College of Fam and Consumr Sci",,,3,0,0,0,0,0,0,0,0,1,3750,0,0,1,3750,1,3750,0,0,1,750,1,750,0,0,0,0,1,206101,2,13605
Bachelor's,BSFCS,"College of Fam and Consumr Sci",,,4681,1176,7859985,3056,39145538.11,1151,18943097.24,2007,20202440.87,2315,39409789.25,3072,39386609.11,2033,35002868,1976,31109551,265,3893317,3706,58625375.02,892,9843112,313,964459,209,2733800.95,122,311493311,4152,98913516.29
Bachelor's,BSFCS,,,,4681,1176,7859985,3056,39145538.11,1151,18943097.24,2007,20202440.87,2315,39409789.25,3072,39386609.11,2033,35002868,1976,31109551,265,3893317,3706,58625375.02,892,9843112,313,964459,209,2733800.95,122,311493311,4152,98913516.29
Bachelor's,,,,,4681,1176,7859985,3056,39145538.11,1151,18943097.24,2007,20202440.87,2315,39409789.25,3072,39386609.11,2033,35002868,1976,31109551,265,3893317,3706,58625375.02,892,9843112,313,964459,209,2733800.95,122,311493311,4152,98913516.29
,,,,,4681,1176,7859985,3056,39145538.11,1151,18943097.24,2007,20202440.87,2315,39409789.25,3072,39386609.11,2033,35002868,1976,31109551,265,3893317,3706,58625375.02,892,9843112,313,964459,209,2733800.95,122,311493311,4152,98913516.29
